# id|buildingId|floor|publicX|publicY|publicZ|minX|minY|minZ|maxX|maxY|maxZ
stall1|building-1|1|-44|102|-192|-46|99|-196|-42|106|-188
stall2|building-5|1|-54|99|-181|-56|98|-182|-52|101|-180
stall3|building-5|1|-61|99|-181|-63|98|-182|-59|101|-180
stall4|building-5|1|-68|99|-181|-70|98|-182|-66|101|-180
stall5|building-20|1|-63|104|-214|-65|102|-216|-60|107|-211
stall6|building-20|1|-63|99|-213|-64|98|-215|-61|101|-211
stall7|building-4|1|-42|99|-217|-43|98|-219|-41|101|-215
stall8|building-4|1|-42|99|-224|-43|98|-226|-41|101|-222
stall9|building-4|1|-42|99|-231|-43|98|-233|-41|101|-229
stall10|building-2|1|-62|100|-229|-65|98|-232|-59|102|-226
stall11|building-2|2|-62|105|-229|-65|103|-232|-59|108|-226
stall12|building-3|1|-54|104|-272|-60|98|-279|-48|110|-265
stall13|building-3|1|-36|104|-272|-42|98|-279|-30|110|-265
stall14|building-3|2|-57|115|-268|-60|112|-271|-54|118|-265
stall15|building-3|2|-47|115|-268|-50|112|-271|-44|118|-265
stall16|building-3|2|-32|115|-267|-34|112|-269|-30|118|-265
stall17|building-3|2|-32|115|-277|-34|112|-279|-30|118|-275
stall18|building-3|3|-32|123|-277|-34|120|-279|-30|126|-275
stall19|building-3|3|-32|123|-267|-34|120|-269|-30|126|-265
stall20|building-3|3|-42|123|-268|-44|120|-270|-39|126|-265
stall21|building-3|3|-43|123|-277|-45|120|-279|-40|126|-274
stall22|building-3|3|-50|123|-277|-52|120|-279|-47|126|-274
stall23|building-3|3|-50|123|-268|-52|120|-270|-47|126|-265
stall24|building-3|3|-57|123|-268|-60|120|-271|-54|126|-265
stall25|building-3|3|-57|123|-276|-60|120|-279|-54|126|-273
stall26|building-3|4|-37|129|-267|-44|128|-269|-30|130|-264
stall27|building-3|4|-37|129|-278|-44|128|-280|-30|130|-275
stall28|building-3|4|-50|129|-278|-52|128|-280|-47|130|-275
stall29|building-3|4|-50|129|-267|-52|128|-269|-47|130|-264
stall30|building-3|4|-57|129|-267|-60|128|-270|-54|130|-264
stall31|building-3|4|-57|129|-277|-60|128|-280|-54|130|-274
stall32|building-6|1|-9|102|-254|-11|99|-256|-7|106|-252
stall33|building-6|2|-8|110|-253|-10|108|-255|-6|113|-251
stall34|building-7|1|-17|103|-211|-18|101|-213|-16|106|-209
stall35|building-7|1|-17|103|-216|-18|101|-217|-16|106|-215
stall36|building-7|1|-5|103|-216|-7|101|-217|-3|106|-214
stall37|building-7|2|-16|110|-211|-18|108|-212|-13|112|-209
stall38|building-7|2|-16|110|-216|-18|108|-217|-13|112|-214
stall39|building-9|1|8|102|-182|6|101|-185|11|104|-179
stall40|building-9|2|8|107|-182|6|106|-184|11|108|-179
stall41|building-9|3|7|111|-183|3|110|-185|11|113|-180
stall42|building-10|1|58|109|-197|55|105|-200|61|113|-194
stall43|building-11|1|57|106|-178|56|105|-180|59|108|-176
stall44|building-11|1|57|112|-179|55|110|-181|60|114|-176
stall45|building-12|1|82|107|-180|80|106|-182|85|109|-178
stall46|building-12|1|82|107|-172|80|106|-174|85|109|-170
stall47|building-12|2|81|114|-178|80|112|-182|83|116|-174
stall48|building-12|3|82|120|-178|80|118|-182|85|123|-173
stall49|building-14|1|89|107|-222|88|105|-223|91|110|-221
stall50|building-14|1|94|107|-222|93|105|-223|96|110|-221
stall51|building-14|1|94|107|-210|93|105|-212|96|110|-208
stall52|building-14|2|90|114|-208|88|112|-210|92|116|-206
stall53|building-14|2|90|114|-215|88|112|-217|92|116|-212
stall54|building-14|2|90|114|-221|88|112|-223|92|116|-219
stall55|building-17|1|58|108|-230|55|106|-237|61|110|-223
stall56|building-18|1|63|108|-269|61|106|-272|66|110|-266
stall57|building-18|1|74|108|-269|72|106|-272|77|110|-266
stall58|building-18|2|74|113|-269|72|112|-272|77|115|-266
stall59|building-18|2|63|113|-269|61|112|-272|66|115|-266
stall60|building-18|3|63|118|-269|61|117|-272|66|120|-266
stall61|building-18|3|74|118|-269|72|117|-272|77|120|-266
stall62|building-18|3|63|118|-269|61|117|-272|66|120|-266
stall63|building-18|3|73|124|-269|72|122|-271|75|126|-267
stall64|building-18|3|69|124|-265|67|122|-266|71|126|-263
stall65|building-18|3|64|124|-269|63|122|-271|66|126|-267
stall66|building-18|4|73|130|-269|72|128|-271|75|132|-267
stall67|building-18|4|69|130|-265|67|128|-266|71|132|-263
stall68|building-18|4|64|130|-269|63|128|-271|66|132|-267
stall69|building-18|5|73|139|-269|72|134|-271|75|144|-267
stall70|building-18|5|69|139|-265|67|134|-266|71|144|-263
stall71|building-18|5|65|139|-269|64|134|-271|67|144|-267
